,専門学科（農業に関する学科）
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立平塚農商,都市農業科,38,38,38,0,,,38,0,1,0
,,〃,都市環境科,38,44,44,0,,,38,0,1.1599999999999999,0
,,〃,食品科学科,38,46,46,0,,,38,0,1.21,0
,,〃,農業総合科,38,40,40,0,,,38,0,1.05,0
,,,計,152,168,168,0,,,152,0,1.1100000000000001,0
,,県立相原,畜産科学科,38,51,51,0,,,39,1,1.28,0
,,〃,食品科学科,38,41,41,0,,,38,0,1.08,0
,,〃,環境緑地科,38,46,46,0,,,38,0,1.21,0
,,,計,114,138,138,0,,,115,1,1.19,0
,,県立中央農業,園芸科学科,78,72,72,0,,,71,1,1,7
,,〃,畜産科学科,38,38,38,0,,,38,0,1,0
,,〃,農業総合科,78,70,69,1,,,70,0,1,8
,,,計,194,180,179,1,,,179,1,1,15
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,460,486,485,1,,,446,2,1.0900000000000001,15
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,専門学科（工業に関する学科）,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立神奈川工業,機械科,78,84,84,0,,,79,2,1.04,0
,,〃,建設科,78,81,81,0,,,80,0,1.01,0
,,〃,電気科,118,127,127,0,,,120,2,1.04,0
,,〃,デザイン科,38,56,56,0,,,40,0,1.4,0
,,,計,312,348,348,0,,,319,4,1.08,0
,,県立商工,総合技術科,118,102,102,0,,,102,0,1,16
,,県立磯子工業,機械科,76,75,75,0,,,75,1,0.99,1
,,〃,電気科,76,77,77,0,,,76,0,1.01,0
,,〃,建設科,36,38,38,0,,,36,1,1.03,0
,,〃,化学科,36,20,19,1,,,20,0,1,16
,,,計,224,210,209,1,,,207,2,1,17
,,県立川崎工科,総合技術科,238,246,244,2,,,238,2,1.03,0
,,県立向の岡工業,機械科,78,63,63,0,,,63,0,1,15
,,〃,建設科,78,56,55,1,,,56,0,1,22
,,〃,電気科,78,62,62,0,,,62,0,1,16
,,,計,234,181,180,1,,,181,0,1,53
,,,,,,,,,,,,,
,※　県立磯子工業高等学校機械科の合格者数には、第２希望による合格者が含まれています。,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立横須賀工業,機械科,78,48,48,0,,,48,0,1,30
,,〃,電気科,78,64,64,0,,,64,0,1,14
,,〃,建設科,38,35,35,0,,,35,0,1,3
,,〃,化学科,38,32,32,0,,,32,0,1,6
,,,計,232,179,179,0,,,179,0,1,53
,,県立平塚工科,総合技術科,238,127,126,1,,,127,0,1,111
,,県立藤沢工科,総合技術科,238,159,158,1,,,158,1,1,80
,,県立小田原北,機械科,38,25,25,0,,,25,0,1,13
,,〃,電気科,38,30,30,0,,,30,0,1,8
,,〃,建設科,38,25,25,0,,,24,1,1,14
,,〃,デザイン科,38,37,37,0,,,37,0,1,1
,,,計,152,117,117,0,,,116,1,1,36
,,川崎市立川崎総合科学,情報工学科,39,39,39,0,,,38,1,1,1
,,〃,総合電気科,39,34,33,1,,,36,0,0.94,3
,,〃,電子機械科,39,32,32,0,,,32,0,1,7
,,〃,建設工学科,39,43,42,1,,,39,0,1.1000000000000001,0
,,〃,デザイン科,39,38,38,0,,,38,0,1,1
,,,計,195,186,184,2,,,183,1,1.01,12
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,2181,1855,1847,8,,,1810,11,1.02,378
,,,,,,,,,,,,,
,※　川崎市立川崎総合科学高等学校総合電気科の合格者数には、第２希望による合格者が含まれています。
,
,専門学科（商業に関する学科）
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立商工,総合ビジネス科,118,105,105,0,,,105,0,1,13
,,県立平塚農商,総合ビジネス科,158,164,164,0,,,158,1,1.03,0
,,県立小田原東,総合ビジネス科,118,74,74,0,,,73,1,1,45
,,県立相原,総合ビジネス科,118,136,136,0,,,119,0,1.1399999999999999,0
,,県立厚木王子,総合ビジネス科,158,184,184,0,,,158,0,1.1599999999999999,0
,,横浜市立横浜商業,商業科,199,211,210,1,,,199,2,1.05,0
,,〃,スポーツマネジメント科,39,61,61,0,,,39,0,1.56,0
,,,計,238,272,271,1,,,238,2,1.1299999999999999,0
,,川崎市立幸,ビジネス教養科,118,138,138,0,,,118,0,1.17,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,1026,1073,1072,1,,,969,4,1.1000000000000001,58
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,
,専門学科（水産に関する学科）
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立海洋科学,船舶運航科,38,47,46,1,,,38,0,1.24,0
,,〃,水産食品科,38,23,23,0,,,26,0,0.88,12
,,〃,無線技術科,38,40,40,0,,,38,0,1.05,0
,,〃,生物環境科,38,30,30,0,,,33,0,0.91,5
,,,計,152,140,139,1,,,135,0,1.04,17
,,,,,,,,,,,,,
,※　県立海洋科学高等学校水産食品科及び生物環境科の合格者数には、第２希望による合格者が含まれています。,,,,,,,,,
,
,専門学科（家庭に関する学科）
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,川崎市立川崎,生活科学科,39,31,31,0,,,30,1,1,9
,,,,,,,,,,,,,
,専門学科（福祉に関する学科）
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立二俣川,福祉科,38,28,28,0,,,28,0,1,10
,,県立横須賀南,福祉科,78,47,47,0,,,46,1,1,32
,,県立津久井,福祉科,38,15,15,0,,,15,0,1,23
,,川崎市立川崎,福祉科,39,37,37,0,,,37,0,1,2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,193,127,127,0,,,126,1,1,67
,,,,,,,,,,,,,
,専門学科（理数に関する学科）
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,川崎市立川崎総合科学,科学科,39,51,50,1,,,39,3,1.23,0
,,,,,,,,,,,,,
,専門学科（体育に関する学科）
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立厚木北,スポーツ科学科,38,46,46,0,,,38,1,1.18,0
,,川崎市立橘,スポーツ科,39,49,49,0,,,39,0,1.26,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,77,95,95,0,,,77,1,1.22,0
,,,,,,,,,,,,,
,専門学科（美術に関する学科）
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立白山,美術科,38,34,34,0,,,34,0,1,4
,,県立上矢部,美術科,38,47,47,0,,,38,0,1.24,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,76,81,81,0,,,72,0,1.1299999999999999,4
,,,,,,,,,,,,,
,専門学科（国際に関する学科）
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,横浜市立横浜商業,国際学科,35,52,52,0,,,35,0,1.49,0
,,川崎市立橘,国際科,39,49,49,0,,,39,0,1.26,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,74,101,101,0,,,74,0,1.36,0
,,,,,,,,,,,,,
