school_name,course,category,old_district,total_score,naishin,naishin_max,hensachi,exam_type,gakuryoku_ratio,note
日比谷,,普通科,1,920,61,65,69,自校作成,7:3,
小山台,,普通科,1,845,56,65,62,共通,7:3,
三田,,普通科,1,845,57,65,61,共通,7:3,
雪谷,,普通科,1,705,45,65,52,共通,7:3,
田園調布,,普通科,1,685,44,65,50,共通,7:3,
大崎,,普通科,1,555,39,65,41,共通,7:3,
美原,,普通科,1,480,36,65,36,共通,7:3,
八潮,,普通科,1,410,32,65,32,共通,7:3,
大森,,普通科,1,370,29,65,30,共通,7:3,
戸山,,普通科,2,890,59,65,66,自校作成,7:3,
青山,,普通科,2,880,59,65,65,自校作成,7:3,
新宿,,普通科,2,865,59,65,63,自校作成,7:3,
駒場,,普通科,2,840,56,65,61,共通,7:3,
目黒,,普通科,2,760,50,65,55,共通,7:3,
広尾,,普通科,2,720,48,65,52,共通,7:3,
芦花,,普通科,2,685,44,65,50,共通,7:3,
松原,,普通科,2,565,39,65,42,共通,7:3,
桜町,,普通科,2,515,36,65,39,共通,7:3,
千歳丘,,普通科,2,445,34,65,34,共通,7:3,
深沢,,普通科,2,385,30,65,31,共通,7:3,R8年度より単位制に改編（7:3での選抜のめやす）
西,,普通科,3,900,59,65,68,自校作成,7:3,
豊多摩,,普通科,3,810,53,65,59,共通,7:3,
井草,,普通科,3,750,48,65,55,共通,7:3,
石神井,,普通科,3,735,47,65,54,共通,7:3,
武蔵丘,,普通科,3,670,44,65,49,共通,7:3,
鷺宮,,普通科,3,640,42,65,47,共通,7:3,
杉並,,普通科,3,620,40,65,46,共通,7:3,
大泉桜,,普通科,3,485,35,65,37,共通,7:3,
練馬,,普通科,3,465,33,65,36,共通,7:3,
光丘,,普通科,3,415,31,65,33,共通,7:3,
田柄,,普通科,3,375,30,65,30,共通,7:3,
竹早,,普通科,4,850,57,65,62,共通,7:3,
北園,,普通科,4,820,55,65,59,共通,7:3,
文京,,普通科,4,775,51,65,56,共通,7:3,
豊島,,普通科,4,740,48,65,54,共通,7:3,
向丘,,普通科,4,675,45,65,49,共通,7:3,
高島,,普通科,4,585,40,65,43,共通,7:3,
板橋,,普通科,4,555,39,65,41,共通,7:3,
飛鳥,,普通科,4,540,39,65,40,共通,7:3,
板橋有徳,,普通科,4,455,34,65,35,共通,7:3,
大山,,普通科,4,385,30,65,31,共通,7:3,
上野,,普通科,5,785,51,65,57,共通,7:3,
江北,,普通科,5,685,45,65,50,共通,7:3,
足立,,普通科,5,595,42,65,43,共通,7:3,
竹台,,普通科,5,530,37,65,40,共通,7:3,
忍岡,,普通科,5,505,37,65,38,共通,7:3,
足立西,,普通科,5,505,37,65,38,共通,7:3,
足立新田,,普通科,5,440,33,65,34,共通,7:3,
淵江,,普通科,5,440,33,65,34,共通,7:3,
青井,,普通科,5,375,30,65,30,共通,7:3,
小松川,,普通科,6,825,54,65,60,共通,7:3,
城東,,普通科,6,810,53,65,59,共通,7:3,
江戸川,,普通科,6,725,47,65,53,共通,7:3,
墨田川,,普通科,6,720,46,65,53,自校作成,7:3,
深川,,普通科,6,710,46,65,52,共通,7:3,
深川,外国語,普通科,6,705,45,65,52,共通,7:3,
東,,普通科,6,665,43,65,49,共通,7:3,
本所,,普通科,6,645,43,65,47,共通,7:3,
小岩,,普通科,6,635,43,65,46,共通,7:3,
紅葉川,,普通科,6,565,39,65,42,共通,7:3,
日本橋,,普通科,6,525,38,65,39,共通,7:3,
葛飾野,,普通科,6,505,37,65,38,共通,7:3,
篠崎,,普通科,6,505,36,65,38,共通,7:3,
南葛飾,,普通科,6,460,35,65,35,共通,7:3,
葛西南,,普通科,6,385,30,65,31,共通,7:3,
八王子東,,普通科,7,855,56,65,63,自校作成,7:3,
町田,,普通科,7,805,52,65,59,共通,7:3,
日野台,,普通科,7,795,52,65,58,共通,7:3,
南平,,普通科,7,750,48,65,55,共通,7:3,
成瀬,,普通科,7,685,44,65,50,共通,7:3,
松が谷,,普通科,7,640,42,65,47,共通,7:3,
翔陽,,普通科,7,635,41,65,47,共通,7:3,
富士森,,普通科,7,630,42,65,46,共通,7:3,
日野,,普通科,7,630,42,65,46,共通,7:3,
松が谷,外国語,普通科,7,610,40,65,45,共通,7:3,
小川,,普通科,7,580,39,65,43,共通,7:3,
片倉,,普通科,7,555,39,65,41,共通,7:3,
八王子北,,普通科,7,495,37,65,37,共通,7:3,
山崎,,普通科,7,440,33,65,34,共通,7:3,
野津田,,普通科,7,375,30,65,30,共通,7:3,
立川,理数,普通科,8,895,59,65,67,自校作成,7:3,
立川,,普通科,8,870,58,65,64,自校作成,7:3,
昭和,,普通科,8,800,53,65,58,共通,7:3,
東大和南,,普通科,8,725,47,65,53,共通,7:3,
上水,,普通科,8,685,44,65,50,共通,7:3,
東大和,,普通科,8,600,41,65,44,共通,7:3,
福生,,普通科,8,540,39,65,40,共通,7:3,
武蔵村山,,普通科,8,480,36,65,36,共通,7:3,
拝島,,普通科,8,425,33,65,33,共通,7:3,
羽村,,普通科,8,385,30,65,31,共通,7:3,
多摩,,普通科,8,385,30,65,31,共通,7:3,
五日市,,普通科,8,370,29,65,30,共通,7:3,
国分寺,,普通科,9,835,55,65,61,自校作成,7:3,
武蔵野北,,普通科,9,825,54,65,60,共通,7:3,
小金井北,,普通科,9,810,53,65,59,共通,7:3,
小平,,普通科,9,750,48,65,55,共通,7:3,
小平,外国語,普通科,9,745,47,65,55,共通,7:3,
小平南,,普通科,9,705,45,65,52,共通,7:3,
清瀬,,普通科,9,695,45,65,51,共通,7:3,
保谷,,普通科,9,635,41,65,47,共通,7:3,
田無,,普通科,9,565,39,65,42,共通,7:3,
小平西,,普通科,9,505,37,65,38,共通,7:3,
久留米西,,普通科,9,490,36,65,37,共通,7:3,
東村山西,,普通科,9,425,33,65,33,共通,7:3,
国立,,普通科,10,900,60,65,67,自校作成,7:3,
調布北,,普通科,10,785,50,65,58,共通,7:3,
狛江,,普通科,10,755,49,65,55,共通,7:3,
神代,,普通科,10,735,47,65,54,共通,7:3,
調布南,,普通科,10,720,46,65,53,共通,7:3,
府中,,普通科,10,680,43,65,50,共通,7:3,
府中西,,普通科,10,565,39,65,42,共通,7:3,
府中東,,普通科,10,555,39,65,41,共通,7:3,
永山,,普通科,10,450,33,65,35,共通,7:3,
晴海総合,,総合学科,,645,43,65,47,共通,7:3,
青梅総合,,総合学科,,605,42,65,44,共通,7:3,
杉並総合,,総合学科,,585,40,65,43,共通,7:3,
王子総合,,総合学科,,555,39,65,41,共通,7:3,
つばさ総合,,総合学科,,550,38,65,41,共通,7:3,
東久留米総合,,総合学科,,520,37,65,39,共通,7:3,
若葉総合,,総合学科,,495,37,65,37,共通,7:3,
世田谷総合,,総合学科,,490,36,65,37,共通,7:3,
葛飾総合,,総合学科,,480,36,65,36,共通,7:3,
町田総合,,総合学科,,460,35,65,35,共通,7:3,
国際,国際,国際・科学技術・産業・芸術・体育科,,840,56,65,61,共通,7:3,
工芸,デザイン,国際・科学技術・産業・芸術・体育科,,755,51,65,54,共通,7:3,
多摩科学技術,科学技術,国際・科学技術・産業・芸術・体育科,,750,44,65,57,共通,7:3,
工芸,グラフィック,国際・科学技術・産業・芸術・体育科,,715,47,65,52,共通,7:3,
駒場,保健体育,国際・科学技術・産業・芸術・体育科,,715,55,75,51,共通,6:4,3教科校
総合芸術,美術,国際・科学技術・産業・芸術・体育科,,695,53,75,50,共通,6:4,3教科校
科学技術,創造理数,国際・科学技術・産業・芸術・体育科,,685,42,65,51,共通,7:3,
工芸,インテリア・アートクラフト,国際・科学技術・産業・芸術・体育科,,685,45,65,50,共通,7:3,
産業技術高専,ものづくり工学,国際・科学技術・産業・芸術・体育科,,680,33,52,51,共通,7:3,3教科校・内申換算は独自（国数英×1.0＋理×1.4＋社音美体技家×1.2＝52満点）
総合芸術,舞台表現,国際・科学技術・産業・芸術・体育科,,675,51,75,49,共通,6:4,3教科校
工芸,マシンクラフト,国際・科学技術・産業・芸術・体育科,,670,44,65,49,共通,7:3,
総合芸術,音楽,国際・科学技術・産業・芸術・体育科,,660,52,75,47,共通,6:4,3教科校
八王子桑志,システム情報,国際・科学技術・産業・芸術・体育科,,625,39,65,47,共通,7:3,
科学技術,科学技術,国際・科学技術・産業・芸術・体育科,,610,38,65,46,共通,7:3,
八王子桑志,デザイン,国際・科学技術・産業・芸術・体育科,,595,40,65,44,共通,7:3,
八王子桑志,クラフト,国際・科学技術・産業・芸術・体育科,,525,35,65,40,共通,7:3,
八王子桑志,ビジネス情報,国際・科学技術・産業・芸術・体育科,,515,36,65,39,共通,7:3,
片倉,造形美術,国際・科学技術・産業・芸術・体育科,,510,38,65,38,共通,7:3,
大島海洋国際,海洋国際,国際・科学技術・産業・芸術・体育科,,460,32,65,36,共通,7:3,
野津田,体育,国際・科学技術・産業・芸術・体育科,,400,35,75,31,共通,6:4,3教科校
