,単位制　普通科,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,合格者数,,,受検後,,
,,学 校 名,学科・コース名,募集定員,計,２月17日,追検査,学区,学区,計,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),内,外,(C),(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立神奈川総合,普通科個性化コース,119,180,178,2,－,－,119,1,1.5,0
,,〃,普通科国際文化コース,89,131,129,2,－,－,89,1,1.46,0
,,,計,208,311,307,4,－,－,208,2,1.49,0
,,県立横浜緑園,普通科,278,257,257,0,－,－,257,0,1,21
,,県立横浜桜陽,普通科,270,185,185,0,－,－,185,0,1,85
,,県立横浜清陵,普通科,305,330,330,0,－,－,305,1,1.08,0
,,県立横浜栄,普通科,318,378,378,0,－,－,318,5,1.17,0
,,県立川崎,普通科,222,281,280,1,－,－,222,0,1.27,0
,,県立大師,普通科,225,147,146,1,－,－,147,0,1,78
,,県立三浦初声,普通科,198,85,84,1,－,－,85,0,1,113
,,県立藤沢清流,普通科,278,296,295,1,－,－,278,2,1.06,0
,,県立平塚湘風,普通科,238,169,169,0,－,－,169,0,1,69
,,県立小田原,普通科,319,366,363,3,－,－,319,2,1.1399999999999999,0
,,県立厚木清南,普通科,230,232,230,2,－,－,230,1,1,0
,,県立相模原城山,普通科,278,262,262,0,－,－,262,0,1,16
,,県立相模原弥栄,普通科,183,188,186,2,－,－,183,1,1.02,0
,,横浜市立東,普通科,268,313,311,2,255,13,268,2,1.1599999999999999,0
,,横浜市立戸塚,普通科一般コース,279,336,335,1,258,21,279,2,1.2,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,4097,4136,4118,18,－,－,3715,18,1.1100000000000001,382
,,,,,,,,,,,,,
,
,,,,,,,,,,,,,
,単位制　普通科専門コース,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学科・コース名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,横浜市立戸塚,普通科音楽コース,39,46,46,0,,,39,0,1.18,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　総合学科　（クリエイティブスクールを除く。）,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,合格者数,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,学区,学区,計,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),内,外,(C),(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立鶴見総合,総合学科,259,296,296,0,－,－,259,4,1.1299999999999999,0
,,県立金沢総合,総合学科,278,311,309,2,－,－,278,1,1.1200000000000001,0
,,県立藤沢総合,総合学科,268,318,315,3,－,－,269,0,1.18,0
,,県立秦野総合,総合学科,238,197,196,1,－,－,197,0,1,41
,,県立座間総合,総合学科,264,260,260,0,－,－,260,0,1,4
,,横浜市立みなと総合,総合学科,232,248,247,1,215,17,232,4,1.05,0
,,横須賀市立横須賀総合,総合学科,320,363,362,1,－,－,320,0,1.1299999999999999,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,1859,1993,1985,8,－,－,1815,9,1.0900000000000001,45
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　総合学科　クリエイティブスクール,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立青葉総合,総合学科,158,138,134,4,,,138,0,1,20
,,,,,,,,,,,,,
,※　単位制総合学科クリエイティブスクールの受検者数２月17日(A)は、２月19日までの特色検査（面接）の受検者数です。,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　専門学科（農業に関する学科）,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立三浦初声,都市農業科,38,26,26,0,,,26,0,1,12
,,県立吉田島,都市農業科,38,26,26,0,,,26,0,1,12,
,,〃,食品加工科,38,34,34,0,,,34,0,1,4,
,,〃,環境緑地科,38,17,17,0,,,18,0,0.94,20,
,,,計,114,77,77,0,,,78,0,0.99,36
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,152,103,103,0,,,104,0,0.99,48
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　専門学科（家庭に関する学科）,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立吉田島,生活科学科,38,34,34,0,,,34,0,1,4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　専門学科（理数に関する学科）,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,横浜市立横浜サイエンスフロンティア,理数科,158,244,242,2,,,158,2,1.53,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　専門学科（体育に関する学科）,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立相模原弥栄,スポーツ科学科,78,85,85,0,,,80,1,1.05,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　専門学科（音楽に関する学科）,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
